precinct,count
1,174
5,160
6,175
7,221
9,266
10,241
13,152
14,351
17,76
18,268
19,167
20,112
22,12
23,610
24,205
25,614
26,158
28,344
30,328
32,684
33,272
34,400
40,1009
41,512
42,653
43,772
44,1139
45,223
46,1120
47,944
48,662
49,321
50,215
52,759
60,485
61,214
62,176
63,274
66,89
67,1119
68,227
69,488
70,713
71,648
72,251
73,1163
75,2172
76,158
77,950
78,118
79,1062
81,806
83,648
84,232
88,229
90,420
94,113
100,119
101,595
102,239
103,572
104,220
105,470
106,205
107,168
108,131
109,205
110,267
111,37
112,119
113,704
114,380
115,245
120,844
121,366
122,238
123,112
